Distance_(unit),Gray_Value
0.00000,120.500
0.01898,120.186
0.03796,116.158
0.05694,110.797
0.07592,107.587
0.09490,106.797
0.11388,106.517
0.13286,106.111
0.15184,106.035
0.17082,106.988
0.18980,108.367
0.20878,107.211
0.22776,102.808
0.24674,98.053
0.26572,95.932
0.28469,98.879
0.30367,102.163
0.32265,102.333
0.34163,100.833
0.36061,97.500
0.37959,95.016
0.39857,95.229
0.41755,97.461
0.43653,99.669
0.45551,100.961
0.47449,103.576
0.49347,108.121
0.51245,111.748
0.53143,112.613
0.55041,113.185
0.56939,115.348
0.58837,116.474
0.60735,114.982
0.62633,112.106
0.64531,110.758
0.66429,111.169
0.68327,110.590
0.70225,107.332
0.72123,102.586
0.74021,100.049
0.75919,102.417
0.77817,107.410
0.79715,110.539
0.81612,111.500
0.83510,111.892
0.85408,108.430
0.87306,99.837
0.89204,93.587
0.91102,94.525
0.93000,99.500
0.94898,102.836
0.96796,102.338
0.98694,100.856
1.00592,102.370
1.02490,106.351
1.04388,112.000
1.06286,114.194
1.08184,113.199
1.10082,114.592
1.11980,112.872
1.13878,105.743
1.15776,101.521
1.17674,105.496
1.19572,108.373
1.21470,109.203
1.23368,115.486
1.25266,121.329
1.27164,120.422
1.29062,118.242
1.30960,118.829
1.32858,116.960
1.34755,108.877
1.36653,102.880
1.38551,102.498
1.40449,102.352
1.42347,101.914
1.44245,104.180
1.46143,114.897
1.48041,131.390
1.49939,142.920
1.51837,143.284
1.53735,131.370
1.55633,116.282
1.57531,106.670
1.59429,101.939
1.61327,104.329
1.63225,107.540
1.65123,106.167
1.67021,104.052
1.68919,103.168
1.70817,103.491
1.72715,103.274
1.74613,105.436
1.76511,109.209
1.78409,108.207
1.80307,106.229
1.82205,106.324
1.84103,105.796
1.86001,105.814
1.87898,106.966
1.89796,108.833
1.91694,110.917
1.93592,112.526
1.95490,112.966
1.97388,110.648
1.99286,108.884
2.01184,110.437
2.03082,111.827
2.04980,115.205
2.06878,120.938
2.08776,122.634
2.10674,117.147
2.12572,107.966
2.14470,100.156
2.16368,97.927
2.18266,102.283
2.20164,110.144
2.22062,123.174
2.23960,138.563
2.25858,137.078
2.27756,121.287
2.29654,109.199
2.31552,103.233
2.33450,101.386
2.35348,102.374
2.37246,107.536
2.39144,111.858
2.41041,111.638
2.42939,102.276
2.44837,99.637
2.46735,116.919
2.48633,125.751
2.50531,114.795
2.52429,106.432
2.54327,106.842
2.56225,109.051
2.58123,116.114
2.60021,122.715
2.61919,118.233
2.63817,109.041
2.65715,107.073
2.67613,108.529
2.69511,105.411
2.71409,105.940
2.73307,109.778
2.75205,103.479
