Distance_(cm),Gray_Value
0.0000,73.000
0.0159,64.538
0.0317,66.656
0.0476,69.751
0.0635,73.978
0.0794,75.579
0.0952,74.092
0.1111,71.077
0.1270,67.974
0.1428,68.190
0.1587,63.846
0.1746,61.381
0.1905,68.004
0.2063,78.571
0.2222,83.051
0.2381,79.388
0.2539,72.725
0.2698,59.531
0.2857,61.722
0.3015,67.612
0.3174,75.158
0.3333,81.641
0.3492,80.242
0.3650,73.703
0.3809,65.436
0.3968,61.700
0.4126,62.762
0.4285,65.883
0.4444,67.231
0.4603,67.769
0.4761,64.040
0.4920,59.513
0.5079,55.839
0.5237,59.916
0.5396,62.912
0.5555,68.308
0.5714,69.524
0.5872,68.901
0.6031,67.564
0.6190,67.524
0.6348,67.597
0.6507,63.073
0.6666,58.590
0.6825,61.571
0.6983,72.509
0.7142,79.667
0.7301,80.766
0.7459,84.919
0.7618,90.220
0.7777,75.667
0.7936,74.637
0.8094,77.103
0.8253,84.476
0.8412,93.055
0.8570,96.623
0.8729,93.696
0.8888,88.692
0.9046,77.509
0.9205,60.033
0.9364,70.985
0.9523,100.480
0.9681,111.864
0.9840,105.868
0.9999,94.795
1.0157,82.099
1.0316,63.476
1.0475,64.557
1.0634,75.689
1.0792,86.443
1.0951,94.187
1.1110,105.359
1.1268,102.897
1.1427,85.018
1.1586,72.857
1.1745,62.648
1.1903,70.733
1.2062,88.187
1.2221,93.385
1.2379,94.524
1.2538,90.817
1.2697,81.374
1.2856,64.707
1.3014,60.209
1.3173,70.125
1.3332,80.385
1.3490,84.011
1.3649,86.582
1.3808,86.359
1.3966,73.143
1.4125,63.839
1.4284,61.000
1.4443,60.000
1.4601,64.396
1.4760,77.952
1.4919,86.121
1.5077,84.114
1.5236,74.612
1.5395,63.440
1.5554,67.846
1.5712,74.648
1.5871,82.722
1.6030,94.857
1.6188,102.465
1.6347,95.286
1.6506,82.524
1.6665,69.154
1.6823,63.341
1.6982,75.136
1.7141,97.234
1.7299,113.300
1.7458,121.744
1.7617,113.619
1.7776,91.641
1.7934,85.179
1.8093,80.696
1.8252,103.392
1.8410,120.117
1.8569,116.429
1.8728,117.626
1.8887,108.179
1.9045,72.872
1.9204,66.227
1.9363,68.952
1.9521,89.231
1.9680,106.670
1.9839,110.619
1.9997,110.410
2.0156,104.128
2.0315,89.432
