Distance_(cm),Gray_Value
0.00000,28.667
0.01953,31.495
0.03905,30.345
0.05858,26.371
0.07811,25.888
0.09763,25.222
0.11716,25.642
0.13668,27.025
0.15621,28.206
0.17574,28.673
0.19526,27.161
0.21479,25.709
0.23432,25.034
0.25384,30.746
0.27337,34.017
0.29289,30.979
0.31242,25.056
0.33195,23.787
0.35147,25.588
0.37100,26.719
0.39053,25.821
0.41005,25.539
0.42958,25.468
0.44910,26.588
0.46863,28.824
0.48816,29.367
0.50768,27.255
0.52721,25.338
0.54674,25.141
0.56626,28.770
0.58579,31.116
0.60531,29.178
0.62484,27.331
0.64437,28.707
0.66389,31.269
0.68342,32.395
0.70295,28.450
0.72247,27.984
0.74200,27.929
0.76152,27.875
0.78105,29.008
0.80058,29.307
0.82010,30.219
0.83963,31.216
0.85916,31.513
0.87868,29.674
0.89821,28.014
0.91773,27.390
0.93726,27.333
0.95679,27.333
0.97631,27.096
0.99584,26.733
1.01537,27.405
1.03489,27.541
1.05442,28.301
1.07394,30.034
1.09347,31.328
1.11300,31.562
1.13252,30.948
1.15205,30.979
1.17158,30.851
1.19110,31.226
1.21063,32.164
1.23015,31.864
1.24968,30.593
1.26921,30.333
1.28873,31.484
1.30826,33.317
1.32779,27.413
1.34731,26.000
1.36684,26.150
1.38637,27.744
1.40589,28.941
1.42542,30.646
1.44494,31.759
1.46447,31.982
1.48400,29.923
1.50352,28.872
1.52305,29.537
1.54258,31.504
1.56210,34.440
1.58163,36.240
1.60115,35.331
1.62068,33.483
1.64021,33.104
1.65973,33.662
1.67926,34.812
1.69879,37.219
1.71831,41.432
1.73784,44.983
1.75736,43.283
1.77689,38.624
1.79642,35.096
1.81594,32.959
1.83547,32.331
1.85500,31.613
1.87452,29.815
1.89405,26.869
1.91357,26.483
1.93310,28.354
1.95263,32.638
1.97215,36.899
1.99168,39.522
2.01121,40.054
2.03073,40.477
2.05026,42.332
2.06978,42.947
2.08931,42.275
2.10884,37.040
2.12836,31.283
2.14789,30.370
2.16742,36.594
2.18694,41.449
