Distance_(cm),Gray_Value
0.00000,73.000
0.01885,75.821
0.03770,78.354
0.05655,76.185
0.07541,72.395
0.09426,70.411
0.11311,71.579
0.13196,76.537
0.15081,72.117
0.16966,67.461
0.18852,67.489
0.20737,70.679
0.22622,71.795
0.24507,70.511
0.26392,69.190
0.28277,71.375
0.30162,72.478
0.32048,72.093
0.33933,71.196
0.35818,72.419
0.37703,74.500
0.39588,72.748
0.41473,68.771
0.43359,68.406
0.45244,71.658
0.47129,74.217
0.49014,74.230
0.50899,73.374
0.52784,72.078
0.54669,69.019
0.56555,67.333
0.58440,69.669
0.60325,74.348
0.62210,76.729
0.64095,76.372
0.65980,76.747
0.67865,76.089
0.69751,74.255
0.71636,75.219
0.73521,74.957
0.75406,70.057
0.77291,65.981
0.79176,69.223
0.81062,72.356
0.82947,71.279
0.84832,70.300
0.86717,71.625
0.88602,73.974
0.90487,75.391
0.92372,75.953
0.94258,76.333
0.96143,75.591
0.98028,73.797
0.99913,72.384
1.01798,71.618
1.03683,71.473
1.05569,72.609
1.07454,73.756
1.09339,74.877
1.11224,77.074
1.13109,80.843
1.14994,82.232
1.16879,80.035
1.18765,76.204
1.20650,73.863
1.22535,75.566
1.24420,84.008
1.26305,96.425
1.28190,107.361
1.30076,113.792
1.31961,117.199
1.33846,118.721
1.35731,113.595
1.37616,105.926
1.39501,104.781
1.41386,108.733
1.43272,112.903
1.45157,114.002
1.47042,111.214
1.48927,104.937
1.50812,104.982
1.52697,113.757
1.54583,106.061
1.56468,96.523
1.58353,123.966
1.60238,149.673
1.62123,157.008
1.64008,160.240
1.65893,160.266
1.67779,176.475
1.69664,171.021
1.71549,186.285
1.73434,189.667
1.75319,192.075
1.77204,187.581
1.79089,179.765
1.80975,155.623
1.82860,161.052
1.84745,151.902
1.86630,127.402
1.88515,131.395
1.90400,152.137
1.92286,153.765
1.94171,127.035
1.96056,103.340
1.97941,105.580
1.99826,102.330
2.01711,92.736
2.03596,88.464
2.05482,93.287
2.07367,95.896
2.09252,92.824
2.11137,94.570
2.13022,94.184
2.14907,90.257
2.16793,83.656
2.18678,80.231
2.20563,81.631
2.22448,86.018
2.24333,91.183
2.26218,93.021
2.28103,91.477
2.29989,90.005
2.31874,91.036
2.33759,94.781
2.35644,97.235
2.37529,94.066
2.39414,87.969
2.41300,83.447
2.43185,81.581
2.45070,81.130
2.46955,80.734
2.48840,79.377
2.50725,76.744
2.52610,76.424
2.54496,78.856
2.56381,80.723
2.58266,78.100
2.60151,72.375
2.62036,68.916
2.63921,68.395
2.65807,68.707
2.67692,69.193
2.69577,70.400
2.71462,72.482
2.73347,73.479
2.75232,72.237
2.77117,70.227
2.79003,68.717
2.80888,68.732
2.82773,70.072
2.84658,71.058
2.86543,70.058
2.88428,68.465
2.90314,68.730
2.92199,69.565
2.94084,70.510
2.95969,71.333
2.97854,71.333
2.99739,71.333
3.01624,71.394
3.03510,71.438
3.05395,72.228
3.07280,71.835
3.09165,70.065
3.11050,66.582
3.12935,65.977
3.14821,68.060
3.16706,70.191
3.18591,68.130
3.20476,69.090
3.22361,69.859
3.24246,68.938
3.26131,68.274
3.28017,68.634
3.29902,70.000
3.31787,70.026
3.33672,70.517
3.35557,65.384
3.37442,62.806
3.39327,64.902
3.41213,67.971
3.43098,67.326
3.44983,63.676
3.46868,61.000
