Distance_(cm),Gray_Value
0.00000,80.667
0.01840,80.488
0.03679,76.377
0.05519,76.087
0.07359,81.355
0.09199,83.723
0.11038,81.162
0.12878,81.600
0.14718,81.320
0.16558,76.663
0.18397,75.064
0.20237,80.833
0.22077,83.721
0.23917,80.895
0.25756,79.449
0.27596,84.961
0.29436,95.516
0.31276,101.437
0.33115,95.130
0.34955,85.520
0.36795,80.669
0.38635,79.449
0.40474,77.516
0.42314,80.150
0.44154,81.278
0.45994,79.654
0.47833,79.010
0.49673,79.454
0.51513,81.065
0.53353,83.347
0.55192,84.765
0.57032,87.923
0.58872,92.048
0.60711,92.872
0.62551,91.771
0.64391,87.082
0.66231,84.227
0.68070,91.497
0.69910,104.329
0.71750,113.181
0.73590,109.953
0.75429,98.130
0.77269,85.431
0.79109,79.569
0.80949,83.635
0.82788,91.860
0.84628,93.587
0.86468,89.573
0.88308,84.770
0.90147,74.619
0.91987,68.181
0.93827,73.949
0.95667,86.513
0.97506,86.974
0.99346,84.200
1.01186,94.417
1.03026,127.860
1.04865,140.296
1.06705,151.802
1.08545,134.358
1.10385,101.654
1.12224,92.871
1.14064,97.939
1.15904,93.040
1.17743,87.113
1.19583,79.424
1.21423,94.736
1.23263,104.264
1.25102,86.672
1.26942,95.847
1.28782,120.846
1.30622,99.575
1.32461,79.283
1.34301,92.363
1.36141,109.924
1.37981,126.477
1.39820,147.490
1.41660,159.533
1.43500,163.459
1.45340,154.961
1.47179,144.469
1.49019,129.349
1.50859,107.558
1.52699,99.462
1.54538,104.531
1.56378,110.542
1.58218,115.217
1.60058,100.670
1.61897,87.257
1.63737,86.615
1.65577,85.128
1.67417,89.082
1.69256,95.938
1.71096,99.701
1.72936,119.907
1.74775,160.346
1.76615,188.131
1.78455,198.729
1.80295,197.130
1.82134,173.748
1.83974,143.684
1.85814,130.436
1.87654,124.694
1.89493,116.412
1.91333,109.210
1.93173,100.140
1.95013,85.527
1.96852,92.504
1.98692,135.502
2.00532,172.394
2.02372,165.611
2.04211,150.160
2.06051,192.169
2.07891,215.600
2.09731,240.636
2.11570,251.329
2.13410,250.926
2.15250,253.034
2.17090,253.991
2.18929,253.612
2.20769,251.580
2.22609,247.348
2.24448,227.132
2.26288,226.381
2.28128,201.388
2.29968,173.388
2.31807,148.435
2.33647,138.039
2.35487,128.316
2.37327,132.355
2.39166,120.301
2.41006,100.528
2.42846,98.868
2.44686,111.056
2.46525,151.021
2.48365,182.760
2.50205,189.087
2.52045,177.748
2.53884,161.923
2.55724,151.539
2.57564,143.948
2.59404,132.173
2.61243,118.117
2.63083,107.695
2.64923,109.466
2.66763,103.325
2.68602,91.971
2.70442,91.796
2.72282,102.513
2.74122,117.516
2.75961,119.428
2.77801,113.458
2.79641,109.694
2.81480,112.574
2.83320,139.091
2.85160,163.102
2.87000,166.439
2.88839,163.839
2.90679,154.139
2.92519,127.541
2.94359,92.587
2.96198,97.084
2.98038,112.820
2.99878,113.403
3.01718,115.890
3.03557,113.864
3.05397,103.469
3.07237,97.929
3.09077,100.375
3.10916,100.461
3.12756,115.002
3.14596,119.004
3.16436,101.839
3.18275,93.795
3.20115,121.210
3.21955,137.020
3.23795,125.885
3.25634,120.256
3.27474,126.319
3.29314,111.584
3.31154,119.066
3.32993,123.537
3.34833,119.762
3.36673,116.133
3.38512,107.922
3.40352,101.267
3.42192,114.645
3.44032,107.312
3.45871,91.040
3.47711,73.756
3.49551,73.709
3.51391,93.645
3.53230,109.785
3.55070,113.929
3.56910,118.817
3.58750,119.454
3.60589,100.850
3.62429,76.335
3.64269,74.961
3.66109,79.967
3.67948,77.496
3.69788,82.833
3.71628,91.759
3.73468,92.377
3.75307,93.392
3.77147,96.163
3.78987,95.293
3.80827,92.226
3.82666,89.674
3.84506,86.742
3.86346,87.431
3.88186,89.769
3.90025,85.483
3.91865,79.657
3.93705,73.632
3.95544,71.740
3.97384,76.013
3.99224,77.685
4.01064,72.688
4.02903,71.836
4.04743,79.539
4.06583,87.137
4.08423,91.897
4.10262,91.035
4.12102,85.642
4.13942,82.767
4.15782,83.308
4.17621,85.470
4.19461,86.691
4.21301,89.632
4.23141,92.516
4.24980,93.246
4.26820,91.642
4.28660,86.913
4.30500,82.557
4.32339,83.667
